Freq.	V(n001)/I(V1)
5.12861383991362e+001	(4.91117352512481e+001dB,-1.12792307815640e+002°)
5.24807460249770e+001	(4.96236617075807e+001dB,-1.09790430265298e+002°)
5.37031796370250e+001	(5.01420285144021e+001dB,-1.07178242441429e+002°)
5.49540873857622e+001	(5.06593159234946e+001dB,-1.04914168803145e+002°)
5.62341325190346e+001	(5.11702240095986e+001dB,-1.02956286731993e+002°)
5.75439937337154e+001	(5.16711911786047e+001dB,-1.01264972044982e+002°)
5.88843655355586e+001	(5.21599641231428e+001dB,-9.98042108733818e+001°)
6.02559586074355e+001	(5.26352455551077e+001dB,-9.85420690218168e+001°)
6.16595001861479e+001	(5.30964201954030e+001dB,-9.74506733409521e+001°)
6.30957344480190e+001	(5.35433485837933e+001dB,-9.65059379385904e+001°)
6.45654229034652e+001	(5.39762153491296e+001dB,-9.56871778449283e+001°)
6.60693448007593e+001	(5.43954193185471e+001dB,-9.49766921766176e+001°)
6.76082975391978e+001	(5.48014949025853e+001dB,-9.43593607084018e+001°)
6.91830970918933e+001	(5.51950564551257e+001dB,-9.38222749087845e+001°)
7.07945784384134e+001	(5.55767593180376e+001dB,-9.33544114178601e+001°)
7.24435960074986e+001	(5.59472728886642e+001dB,-9.29463488495814e+001°)
7.41310241300914e+001	(5.63072623020716e+001dB,-9.25900252391932e+001°)
7.58577575029180e+001	(5.66573762575540e+001dB,-9.22785319124830e+001°)
7.76247116628688e+001	(5.69982392076807e+001dB,-9.20059391151222e+001°)
7.94328234724277e+001	(5.73304466288146e+001dB,-9.17671488736183e+001°)
8.12830516164095e+001	(5.76545624536652e+001dB,-9.15577709594975e+001°)
8.31763771102667e+001	(5.79711180067712e+001dB,-9.13740183268550e+001°)
8.51138038202372e+001	(5.82806119709537e+001dB,-9.12126189013606e+001°)
8.70963589956076e+001	(5.85835110472734e+001dB,-9.10707410726574e+001°)
8.91250938133741e+001	(5.88802510677218e+001dB,-9.09459306635547e+001°)
9.12010839355905e+001	(5.91712383894581e+001dB,-9.08360575138247e+001°)
9.33254300796986e+001	(5.94568514495079e+001dB,-9.07392701259490e+001°)
9.54992586021431e+001	(5.97374423949524e+001dB,-9.06539570801479e+001°)
9.77237220955805e+001	(6.00133387296557e+001dB,-9.05787141428247e+001°)
9.99999999999995e+001	(6.02848449373275e+001dB,-9.05123161725676e+001°)
1.02329299228075e+002	(6.05522440542030e+001dB,-9.04536930769524e+001°)
1.04712854805089e+002	(6.08157991742905e+001dB,-9.04019091967473e+001°)
1.07151930523760e+002	(6.10757548770460e+001dB,-9.03561455961906e+001°)
1.09647819614318e+002	(6.13323385722300e+001dB,-9.03156848225100e+001°)
1.12201845430196e+002	(6.15857617601383e+001dB,-9.02798977678899e+001°)
1.14815362149688e+002	(6.18362212077757e+001dB,-9.02482323252360e+001°)
1.17489755493952e+002	(6.20839000431491e+001dB,-9.02202035774439e+001°)
1.20226443461741e+002	(6.23289687709060e+001dB,-9.01953853001715e+001°)
1.23026877081237e+002	(6.25715862131937e+001dB,-9.01734025917702e+001°)
1.25892541179416e+002	(6.28119003799767e+001dB,-9.01539254721937e+001°)
1.28824955169313e+002	(6.30500492732050e+001dB,-9.01366633163307e+001°)
1.31825673855640e+002	(6.32861616292432e+001dB,-9.01213600070706e+001°)
1.34896288259165e+002	(6.35203576038835e+001dB,-9.01077897101509e+001°)
1.38038426460288e+002	(6.37527494041177e+001dB,-9.00957531869679e+001°)
1.41253754462275e+002	(6.39834418706516e+001dB,-9.00850745734976e+001°)
1.44543977074592e+002	(6.42125330149271e+001dB,-9.00755985636190e+001°)
1.47910838816820e+002	(6.44401145141908e+001dB,-9.00671879437566e+001°)
1.51356124843620e+002	(6.46662721679144e+001dB,-9.00597214331023e+001°)
1.54881661891247e+002	(6.48910863186398e+001dB,-9.00530917899442e+001°)
1.58489319246110e+002	(6.51146322401023e+001dB,-9.00472041499861e+001°)
1.62181009735892e+002	(6.53369804952667e+001dB,-9.00419745671317e+001°)
1.65958690743755e+002	(6.55581972667108e+001dB,-9.00373287311401e+001°)
1.69824365246173e+002	(6.57783446615964e+001dB,-9.00332008399461e+001°)
1.73780082874936e+002	(6.59974809932912e+001dB,-9.00295326073479e+001°)
1.77827941003891e+002	(6.62156610415349e+001dB,-9.00262723892749e+001°)
1.81970085860997e+002	(6.64329362928922e+001dB,-9.00233744140175e+001°)
1.86208713666286e+002	(6.66493551630861e+001dB,-9.00207981036718e+001°)
1.90546071796323e+002	(6.68649632026790e+001dB,-9.00185074756768e+001°)
1.94984459975803e+002	(6.70798032874415e+001dB,-9.00164706147251e+001°)
1.99526231496887e+002	(6.72939157946408e+001dB,-9.00146592065528e+001°)
2.04173794466952e+002	(6.75073387663770e+001dB,-9.00130481261696e+001°)
2.08929613085403e+002	(6.77201080609982e+001dB,-9.00116150740179e+001°)
2.13796208950222e+002	(6.79322574935442e+001dB,-9.00103402543500e+001°)
2.18776162394954e+002	(6.81438189660840e+001dB,-9.00092060908153e+001°)
2.23872113856832e+002	(6.83548225887449e+001dB,-9.00081969748590e+001°)
2.29086765276776e+002	(6.85652967921589e+001dB,-9.00072990430690e+001°)
2.34422881531991e+002	(6.87752684319985e+001dB,-9.00064999800760e+001°)
2.39883291901947e+002	(6.89847628862111e+001dB,-9.00057888440162e+001°)
2.45470891568501e+002	(6.91938041455174e+001dB,-9.00051559119303e+001°)
2.51188643150956e+002	(6.94024148976868e+001dB,-9.00045925427795e+001°)
2.57039578276885e+002	(6.96106166060652e+001dB,-9.00040910560397e+001°)
2.63026799189536e+002	(6.98184295827888e+001dB,-9.00036446240731e+001°)
2.69153480392690e+002	(7.00258730570833e+001dB,-9.00032471766909e+001°)
2.75422870333815e+002	(7.02329652390154e+001dB,-9.00028933165059e+001°)
2.81838293126443e+002	(7.04397233790337e+001dB,-9.00025782438381e+001°)
2.88403150312659e+002	(7.06461638236084e+001dB,-9.00022976900811e+001°)
2.95120922666637e+002	(7.08523020672561e+001dB,-9.00020478585645e+001°)
3.01995172040200e+002	(7.10581528012109e+001dB,-9.00018253720574e+001°)
3.09029543251357e+002	(7.12637299589846e+001dB,-9.00016272261603e+001°)
3.16227766016836e+002	(7.14690467590368e+001dB,-9.00014507479164e+001°)
3.23593656929626e+002	(7.16741157447627e+001dB,-9.00012935590523e+001°)
3.31131121482589e+002	(7.18789488219850e+001dB,-9.00011535433246e+001°)
3.38844156139200e+002	(7.20835572941258e+001dB,-9.00010288175097e+001°)
3.46736850452529e+002	(7.22879518952197e+001dB,-9.00009177056266e+001°)
3.54813389233573e+002	(7.24921428209157e+001dB,-9.00008187160285e+001°)
3.63078054770099e+002	(7.26961397576063e+001dB,-9.00007305210427e+001°)
3.71535229097170e+002	(7.28999519098102e+001dB,-9.00006519388714e+001°)
3.80189396320558e+002	(7.31035880259262e+001dB,-9.00005819175016e+001°)
3.89045144994278e+002	(7.33070564224669e+001dB,-9.00005195203986e+001°)
3.98107170553494e+002	(7.35103650068727e+001dB,-9.00004639137850e+001°)
4.07380277804110e+002	(7.37135212990000e+001dB,-9.00004143553270e+001°)
4.16869383470332e+002	(7.39165324513686e+001dB,-9.00003701840725e+001°)
4.26579518801589e+002	(7.41194052682494e+001dB,-9.00003308115012e+001°)
4.36515832240163e+002	(7.43221462236673e+001dB,-9.00002957135627e+001°)
4.46683592150960e+002	(7.45247614783864e+001dB,-9.00002644235934e+001°)
4.57088189614872e+002	(7.47272568959432e+001dB,-9.00002365260148e+001°)
4.67735141287195e+002	(7.49296380577869e+001dB,-9.00002116507260e+001°)
4.78630092322635e+002	(7.51319102775826e+001dB,-9.00001894681140e+001°)
4.89778819368443e+002	(7.53340786147275e+001dB,-9.00001696846134e+001°)
5.01187233627268e+002	(7.55361478871300e+001dB,-9.00001520387542e+001°)
5.12861383991361e+002	(7.57381226832953e+001dB,-9.00001362976448e+001°)
5.24807460249769e+002	(7.59400073737594e+001dB,-9.00001222538410e+001°)
5.37031796370249e+002	(7.61418061219105e+001dB,-9.00001097225595e+001°)
5.49540873857620e+002	(7.63435228942335e+001dB,-9.00000985391966e+001°)
5.62341325190345e+002	(7.65451614700129e+001dB,-9.00000885571202e+001°)
5.75439937337152e+002	(7.67467254505237e+001dB,-9.00000796457034e+001°)
5.88843655355584e+002	(7.69482182677414e+001dB,-9.00000716885737e+001°)
6.02559586074353e+002	(7.71496431925988e+001dB,-9.00000645820547e+001°)
6.16595001861477e+002	(7.73510033428136e+001dB,-9.00000582337777e+001°)
6.30957344480188e+002	(7.75523016903144e+001dB,-9.00000525614466e+001°)
6.45654229034650e+002	(7.77535410682836e+001dB,-9.00000474917365e+001°)
6.60693448007591e+002	(7.79547241778424e+001dB,-9.00000429593146e+001°)
6.76082975391976e+002	(7.81558535943955e+001dB,-9.00000389059667e+001°)
6.91830970918931e+002	(7.83569317736546e+001dB,-9.00000352798203e+001°)
7.07945784384132e+002	(7.85579610573588e+001dB,-9.00000320346523e+001°)
7.24435960074984e+002	(7.87589436787082e+001dB,-9.00000291292722e+001°)
7.41310241300911e+002	(7.89598817675260e+001dB,-9.00000265269732e+001°)
7.58577575029177e+002	(7.91607773551640e+001dB,-9.00000241950430e+001°)
7.76247116628685e+002	(7.93616323791647e+001dB,-9.00000221043281e+001°)
7.94328234724275e+002	(7.95624486876935e+001dB,-9.00000202288456e+001°)
8.12830516164092e+002	(7.97632280437529e+001dB,-9.00000185454377e+001°)
8.31763771102664e+002	(7.99639721291901e+001dB,-9.00000170334635e+001°)
8.51138038202369e+002	(8.01646825485086e+001dB,-9.00000156745246e+001°)
8.70963589956073e+002	(8.03653608324949e+001dB,-9.00000144522214e+001°)
8.91250938133738e+002	(8.05660084416681e+001dB,-9.00000133519343e+001°)
9.12010839355902e+002	(8.07666267695638e+001dB,-9.00000123606307e+001°)
9.33254300796983e+002	(8.09672171458582e+001dB,-9.00000114666915e+001°)
9.54992586021428e+002	(8.11677808393436e+001dB,-9.00000106597577e+001°)
9.77237220955802e+002	(8.13683190607589e+001dB,-9.00000099305928e+001°)
1.00000000000000e+003	(8.15688329654874e+001dB,-9.00000092709608e+001°)
