Freq.	V(n001)/I(V1)
2.08929613085404e+000	(5.55631468679799e+001dB,-1.79991552128647e+002°)
2.13796208950223e+000	(5.55631571462727e+001dB,-1.79990955077692e+002°)
2.18776162394955e+000	(5.55631684118537e+001dB,-1.79990315637810e+002°)
2.23872113856834e+000	(5.55631807596986e+001dB,-1.79989630802395e+002°)
2.29086765276777e+000	(5.55631942939225e+001dB,-1.79988897352561e+002°)
2.34422881531992e+000	(5.55632091286588e+001dB,-1.79988111842288e+002°)
2.39883291901949e+000	(5.55632253890234e+001dB,-1.79987270582547e+002°)
2.45470891568503e+000	(5.55632432121699e+001dB,-1.79986369624329e+002°)
2.51188643150958e+000	(5.55632627484479e+001dB,-1.79985404740521e+002°)
2.57039578276886e+000	(5.55632841626709e+001dB,-1.79984371406532e+002°)
2.63026799189538e+000	(5.55633076355074e+001dB,-1.79983264779602e+002°)
2.69153480392691e+000	(5.55633333650043e+001dB,-1.79982079676699e+002°)
2.75422870333816e+000	(5.55633615682570e+001dB,-1.79980810550921e+002°)
2.81838293126445e+000	(5.55633924832399e+001dB,-1.79979451466290e+002°)
2.88403150312660e+000	(5.55634263708120e+001dB,-1.79977996070852e+002°)
2.95120922666638e+000	(5.55634635169152e+001dB,-1.79976437567961e+002°)
3.01995172040201e+000	(5.55635042349826e+001dB,-1.79974768685640e+002°)
3.09029543251359e+000	(5.55635488685786e+001dB,-1.79972981643884e+002°)
3.16227766016837e+000	(5.55635977942911e+001dB,-1.79971068119791e+002°)
3.23593656929628e+000	(5.55636514249010e+001dB,-1.79969019210376e+002°)
3.31131121482591e+000	(5.55637102128546e+001dB,-1.79966825392925e+002°)
3.38844156139202e+000	(5.55637746540691e+001dB,-1.79964476482734e+002°)
3.46736850452531e+000	(5.55638452921012e+001dB,-1.79961961588083e+002°)
3.54813389233575e+000	(5.55639227227152e+001dB,-1.79959269062271e+002°)
3.63078054770101e+000	(5.55640075988864e+001dB,-1.79956386452535e+002°)
3.71535229097172e+000	(5.55641006362841e+001dB,-1.79953300445672e+002°)
3.80189396320560e+000	(5.55642026192762e+001dB,-1.79949996810177e+002°)
3.89045144994280e+000	(5.55643144075089e+001dB,-1.79946460334681e+002°)
3.98107170553496e+000	(5.55644369431120e+001dB,-1.79942674762493e+002°)
4.07380277804112e+000	(5.55645712585925e+001dB,-1.79938622722032e+002°)
4.16869383470335e+000	(5.55647184854801e+001dB,-1.79934285652900e+002°)
4.26579518801592e+000	(5.55648798637948e+001dB,-1.79929643727394e+002°)
4.36515832240165e+000	(5.55650567524167e+001dB,-1.79924675767193e+002°)
4.46683592150962e+000	(5.55652506404413e+001dB,-1.79919359154978e+002°)
4.57088189614874e+000	(5.55654631596138e+001dB,-1.79913669740747e+002°)
4.67735141287197e+000	(5.55656960979441e+001dB,-1.79907581742540e+002°)
4.78630092322637e+000	(5.55659514146138e+001dB,-1.79901067641340e+002°)
4.89778819368445e+000	(5.55662312562961e+001dB,-1.79894098069866e+002°)
5.01187233627271e+000	(5.55665379750214e+001dB,-1.79886641695013e+002°)
5.12861383991364e+000	(5.55668741477341e+001dB,-1.79878665093662e+002°)
5.24807460249771e+000	(5.55672425976972e+001dB,-1.79870132621618e+002°)
5.37031796370252e+000	(5.55676464179194e+001dB,-1.79861006275417e+002°)
5.49540873857623e+000	(5.55680889967917e+001dB,-1.79851245546784e+002°)
5.62341325190348e+000	(5.55685740461397e+001dB,-1.79840807269505e+002°)
5.75439937337156e+000	(5.55691056319163e+001dB,-1.79829645458533e+002°)
5.88843655355588e+000	(5.55696882077791e+001dB,-1.79817711141154e+002°)
6.02559586074356e+000	(5.55703266518202e+001dB,-1.79804952180083e+002°)
6.16595001861481e+000	(5.55710263067378e+001dB,-1.79791313088405e+002°)
6.30957344480192e+000	(5.55717930237686e+001dB,-1.79776734836329e+002°)
6.45654229034654e+000	(5.55726332107248e+001dB,-1.79761154649782e+002°)
6.60693448007594e+000	(5.55735538845120e+001dB,-1.79744505800957e+002°)
6.76082975391980e+000	(5.55745627285369e+001dB,-1.79726717391025e+002°)
6.91830970918935e+000	(5.55756681554514e+001dB,-1.79707714125312e+002°)
