Freq.,Pulsación,w/w0,V(n001)/(-I(V1)),,Módulo,Fase [rad],Fase [°]
"3,02E+00","1,90E+01","6,04E-02","6,00E+02","-2,93E-01","599,966467907158","-0,000487684597764","-0,027942269185419"
"3,09E+00","1,94E+01","6,18E-02","6,00E+02","-3,12E-01","599,963225321645","-0,000519941669311","-0,029790463244507"
"3,16E+00","1,99E+01","6,32E-02","6,00E+02","-3,33E-01","599,959678957571","-0,000554428666822","-0,031766422649983"
"3,24E+00","2,03E+01","6,47E-02","6,00E+02","-3,55E-01","599,955799981869","-0,000591301324333","-0,033879070304762"
"3,31E+00","2,08E+01","6,62E-02","6,00E+02","-3,78E-01","599,951556809345","-0,000630726188133","-0,036137948608387"
"3,39E+00","2,13E+01","6,78E-02","6,00E+02","-4,04E-01","599,946914839664","-0,00067288135348","-0,038553261667436"
"3,47E+00","2,18E+01","6,93E-02","6,00E+02","-4,31E-01","599,941836169248","-0,000717957249367","-0,04113592025957"
"3,55E+00","2,23E+01","7,10E-02","6,00E+02","-4,60E-01","599,936279275693","-0,000766157474737","-0,043897589744847"
"3,63E+00","2,28E+01","7,26E-02","6,00E+02","-4,91E-01","599,930198672138","-0,000817699688681","-0,046850741070572"
"3,72E+00","2,33E+01","7,43E-02","6,00E+02","-5,24E-01","599,923544528688","-0,000872816558341","-0,050008705082063"
"3,80E+00","2,39E+01","7,60E-02","6,00E+02","-5,59E-01","599,91626225782","-0,000931756767454","-0,053385730307891"
"3,89E+00","2,44E+01","7,78E-02","6,00E+02","-5,97E-01","599,908292060345","-0,000994786089274","-0,056997044433753"
"3,98E+00","2,50E+01","7,96E-02","6,00E+02","-6,37E-01","599,899568428195","-0,001062188527475","-0,060858919671523"
"4,07E+00","2,56E+01","8,15E-02","6,00E+02","-6,80E-01","599,890019599992","-0,001134267528711","-0,064988742233846"
"4,17E+00","2,62E+01","8,34E-02","6,00E+02","-7,27E-01","599,879566964921","-0,001211347270929","-0,069405086148931"
"4,27E+00","2,68E+01","8,53E-02","6,00E+02","-7,76E-01","599,868124410059","-0,001293774031435","-0,07412779164484"
"4,37E+00","2,74E+01","8,73E-02","6,00E+02","-8,29E-01","599,855597605867","-0,001381917638782","-0,079178048336905"
"4,47E+00","2,81E+01","8,93E-02","6,00E+02","-8,85E-01","599,841883224009","-0,001476173013024","-0,084578483477396"
"4,57E+00","2,87E+01","9,14E-02","6,00E+02","-9,46E-01","599,826868081201","-0,001576961798542","-0,090353255509806"
"4,68E+00","2,94E+01","9,35E-02","6,00E+02","-1,01E+00","599,810428202163","-0,001684734094008","-0,096528153188479"
"4,79E+00","3,01E+01","9,57E-02","6,00E+02","-1,08E+00","599,792427794136","-0,001799970284021","-0,10313070052337"
"4,90E+00","3,08E+01","9,80E-02","6,00E+02","-1,15E+00","599,772718124727","-0,001923182977044","-0,110190267816044"
"5,01E+00","3,15E+01","1,00E-01","6,00E+02","-1,23E+00","599,751136294136","-0,002054919054127","-0,117738189042511"
"5,13E+00","3,22E+01","1,03E-01","6,00E+02","-1,32E+00","599,727503891943","-0,002195761833011","-0,125807885847432"
"5,25E+00","3,30E+01","1,05E-01","6,00E+02","-1,41E+00","599,701625527847","-0,00234633335209","-0,134434998405521"
"5,37E+00","3,37E+01","1,07E-01","6,00E+02","-1,50E+00","599,673287224704","-0,002507296778418","-0,143657523390112"
"5,50E+00","3,45E+01","1,10E-01","6,00E+02","-1,61E+00","599,64225466126","-0,002679358943981","-0,153515959290715"
"5,62E+00","3,53E+01","1,12E-01","6,00E+02","-1,72E+00","599,608271250809","-0,002863273013885","-0,164053459289295"
"5,75E+00","3,62E+01","1,15E-01","6,00E+02","-1,83E+00","599,571056040832","-0,003059841289952","-0,175315991894134"
"5,89E+00","3,70E+01","1,18E-01","6,00E+02","-1,96E+00","599,530301417363","-0,003269918152616","-0,187352509498114"
"6,03E+00","3,79E+01","1,21E-01","5,99E+02","-2,09E+00","599,485670596437","-0,003494413143287","-0,200215124985387"
"6,17E+00","3,87E+01","1,23E-01","5,99E+02","-2,24E+00","599,436794883451","-0,003734294188858","-0,213959296481764"
"6,31E+00","3,96E+01","1,26E-01","5,99E+02","-2,39E+00","599,383270679688","-0,003990590968755","-0,228644020272692"
"6,46E+00","4,06E+01","1,29E-01","5,99E+02","-2,56E+00","599,324656213473","-0,004264398424074","-0,244332031861702"
"6,61E+00","4,15E+01","1,32E-01","5,99E+02","-2,73E+00","599,260467971613","-0,004556880406801","-0,261090015055547"
"6,76E+00","4,25E+01","1,35E-01","5,99E+02","-2,92E+00","599,1901768048","-0,00486927346554","-0,278988818870507"
"6,92E+00","4,35E+01","1,38E-01","5,99E+02","-3,12E+00","599,113203678482","-0,00520289076237","-0,298103681951394"
"7,08E+00","4,45E+01","1,42E-01","5,99E+02","-3,33E+00","599,028915038571","-0,005559126112905","-0,318514464050443"
